Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
2020-11-08,AK,19826,5655,618.0,,741.0,4293.0,668.0,1051.0,1085.0,5715.0,1183.0,8706.0,9937,84.0,31.0,3.0,,8.0,27.0,7.0,3.0,1.0,4.0,1.0,71.0,12.0
2020-11-08,AL,203687,61958,39381.0,,657.0,,,,18636.0,83055.0,8540.0,81856.0,113291,3084.0,1619.0,1057.0,,9.0,,,,83.0,316.0,79.0,2418.0,587.0
2020-11-08,AR,121866,73485,23642.0,,1218.0,321.0,2437.0,885.0,6824.0,13054.0,18158.0,103707.0,1,2085.0,1413.0,358.0,,20.0,5.0,47.0,9.0,88.0,145.0,97.0,1988.0,0.0
2020-11-08,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-08,AZ,259264,69599,7930.0,78638.0,2863.0,15364.0,,,9148.0,75722.0,78638.0,104904.0,75722,6164.0,2622.0,188.0,1827.0,69.0,659.0,,,102.0,697.0,1827.0,3640.0,697.0
2020-11-08,CA,956957,120812,28446.0,411702.0,37716.0,1948.0,3631.0,7890.0,65320.0,279492.0,411702.0,265763.0,279492,17939.0,5347.0,1320.0,8610.0,2089.0,58.0,84.0,145.0,82.0,204.0,8610.0,9125.0,204.0
2020-11-08,CO,130984,51044,4387.0,45516.0,2095.0,707.0,458.0,2056.0,1165.0,23564.0,45516.0,61912.0,23556,2394.0,1494.0,135.0,552.0,66.0,16.0,6.0,56.0,13.0,54.0,552.0,1786.0,56.0
2020-11-08,CT,78125,25877,8718.0,15125.0,1042.0,94.0,,738.0,1421.0,25110.0,15125.0,37890.0,25110,4671.0,3410.0,682.0,419.0,51.0,2.0,,39.0,23.0,45.0,419.0,4207.0,45.0
2020-11-08,DC,18001,4173,8779.0,,295.0,40.0,48.0,,4510.0,156.0,4498.0,11954.0,1549,654.0,67.0,488.0,84.0,8.0,,,,0.0,7.0,84.0,563.0,7.0
2020-11-08,DE,26603,10786,6794.0,5630.0,394.0,,,,1233.0,1766.0,5630.0,19207.0,1766,718.0,469.0,184.0,50.0,2.0,,,,12.0,1.0,50.0,667.0,1.0
2020-11-08,FL,843897,239791,117141.0,246885.0,,,,,55902.0,184178.0,246885.0,369711.0,227301,17333.0,8523.0,3076.0,4362.0,,,,,706.0,666.0,4362.0,11509.0,1462.0
2020-11-08,GA,373078,134087,102587.0,47530.0,6599.0,194.0,344.0,,9310.0,72427.0,47530.0,216774.0,108774,8648.0,4220.0,3253.0,485.0,145.0,10.0,6.0,,16.0,513.0,485.0,7631.0,532.0
